cartodb_id,the_geom,rang,reseau,station,trafic,correspondance_1,correspondance_2,correspondance_3,correspondance_4,correspondance_5,ville,arrondissement_pour_paris,station_name,num_correspondances
71,,211,Métro,CAMBRONNE,2565239,6,,,,,Paris,15,Cambronne,1
72,,215,Métro,CORVISART,2538729,6,,,,,Paris,13,Corvisart,1
73,,271,Métro,SEGUR,1735579,10,,,,,Paris,15,Ségur,1
330,,83,Métro,PYRAMIDES,5096769,7,14,,,,Paris,,Pyramides,2
331,,90,Métro,CHARLES MICHELS,4897053,10,,,,,Paris,15,Charles Michels,1
332,,91,Métro,GLACIERE,4827308,6,,,,,Paris,13,Glacière,1
333,,70,Métro,BASILIQUE DE SAINT-DENIS,5434754,13,,,,,Saint Denis,,,1
334,,68,Métro,CONVENTION,5614573,12,,,,,Paris,,Convention,1
335,,84,Métro,HOCHE,5040191,5,,,,,Pantin,,Hoche,1
336,,80,Métro,ALESIA,5208628,4,,,,,Paris,,Alésia,1
337,,168,Métro,OBERKAMPF,3133981,5,9,,,,Paris,11,Oberkampf,2
338,,175,Métro,FAIDHERBE-CHALIGNY,3073785,8,,,,,Paris,12,Faidherbe — Chaligny,1
339,,194,Métro,SAINT-AMBROISE,2877583,9,,,,,Paris,11,Saint-Ambroise,1
259,,165,Métro,PLACE DES FETES,3180164,7bis,11,,,,Paris,19,Place des Fêtes,2
